id,sig
usp000juhz,1436
usp000jv5f,1432
usp000jvbq,795
usp000jvdf,708
usp000jvpf,650
usp000jwjn,1021
usp000jwt8,843
usp000jx85,691
ak0138esnzr,1425
usc000eyp3,771
usc000f03a,814
usc000f1s0,993
usc000f1se,776
usc000f1ts,754
usc000f3fx,691
usc000f3x8,711
usc000f40j,780
usc000f4ij,904
usc000f4n5,670
usc000f76f,670
usc000febi,736
usc000feww,651
usb000fij4,650
usb000g13s,755
usb000g6lc,670
usb000g7x7,1421
usb000g8my,672
usb000gbf8,804
usb000gcdd,2084
usb000gen8,650
usc000gw27,711
usb000h3k3,842
usb000h4jh,1115
usb000h543,691
usc000hpsd,710
usc000hrnr,679
usc000hzfk,670
usb000i89z,820
usb000i8ey,674
usb000ief9,820
usb000iivv,693
usb000j275,715
usb000j4iz,690
usb000jdt7,758
usb000jelf,668
usb000jgfc,739
usb000jgju,650
usb000jyiv,2015
usb000jzma,843
usb000k1gb,1005
usb000k2h2,650
usb000k3c1,691
usb000kbn7,691
usb000kdb4,1096
usb000kemb,711
usb000khbc,692
usc000kmfw,691
usc000kn4n,872
usb000kqnc,723
usb000kznc,732
usb000l0gq,912
usb000l51g,651
usb000l5zn,754
usc000lvb5,650
usc000mfm0,650
usc000mjye,650
usc000mnvj,733
usc000mskt,681
usb000mzmn,668
nc72182046,1211
usc000ndnj,719
usc000nzvd,1337
usc000nzwm,732
usc000p26f,670
usc000p27i,1061
usc000pft9,776
usc000pfuy,650
usc000pgsi,677
usc000phx5,889
usc000piqj,842
usc000pish,670
usb000pkxl,711
usb000pq41,1017
usb000pqwe,670
usb000pr89,865
usb000px6r,838
usb000q66s,670
usb000q98a,670
usb000qjhh,650
usb000qk64,694
usb000r2hc,953
usc000rfh2,650
usc000rkg5,732
usc000rkga,650
usc000rkhj,691
usc000rki5,963
usc000rngj,732
usc000rnku,691
usc000rqgz,650
usc000rr6a,1079
usb000rs50,706
usb000ruzk,732
usb000rzki,732
usb000s5x1,741
usb000sdcr,724
usb000sk6k,754
usb000sk6q,670
usb000slwn,983
usc000stdc,776
usc000sv94,671
usc000sxh8,779
usc000sxye,698
usb000syhz,652
usb000t08w,713
usb000t20t,670
usc000t4cz,670
usc000t4iq,709
usc000tcba,650
usc000tihy,711
usc000tp1s,700
usb000tp5q,776
usb000tpvj,714
usc000ttkd,760
us10001rvu,872
us10001ryu,650
us200027c2,650
us20002926,2820
us2000292y,733
us200029bt,1018
us20002ag9,692
us20002am6,714
us20002bnf,869
us20002das,776
us20002ejl,1564
us20002et4,831
us10002aj3,691
us10002b03,711
us10002bnk,732
us10002bpw,711
ak0156uj8rk3,762
us20002ki3,1152
us20002qn7,754
us10002l37,652
us20002whh,691
us20002xx1,686
us20002yaw,759
us200030aq,734
us200030kn,762
us100030pg,671
us100031me,650
us20003j4u,708
us20003k7a,1960
us20003k7w,799
us20003kfj,657
us20003kfv,718
us20003mi0,820
us20003nqr,671
us10003q0q,780
us10003re5,1449
us200041ty,657
us10003vgt,841
us10003vry,675
us10003vyx,650
us10003x8t,761
us10003x9g,744
us10003y71,702
us10003ywp,1018
us10003zcp,715
us100040ww,957
us100040x6,896
us100041f1,691
us100043z2,776
us100044k6,827
us20004ft7,738
us100047zq,765
us10004b2n,1506
us10004dj5,651
us10004ebx,718
us10004g4l,673
ak01613v15nv,1436
us20004vvx,799
us10004u1y,948
us20005e8t,734
us20005fsi,691
us20005fzn,692
us20005gsg,738
us20005hqz,903
us20005iis,2095
us20005j32,1167
us10005c88,755
us10005cc4,670
us10005i5t,744
us10005i9n,780
us20005yqp,733
us20005ysu,798
us20005zt1,671
us100068jg,971
us10006d5h,799
us10006exl,843
us10006gbf,903
us20006uy6,779
us10006iy0,713
us10006jbi,890
us10006scr,733
us20007ept,716
us20007f7j,677
us1000731j,2841
us1000778i,1550
us10007795,657
us100077hw,664
us10007b88,1144
us10007c4w,855
us10007ca5,693
us10007ghm,716
us20007z6r,1120
us20007z80,961
us20007zbn,650
us20007zlq,737
us200081v8,972
us10007lkw,726
us10007mn3,1146
us10007pj6,742
us10007s9c,849
us10007u7n,654
us10007uph,987
us20008ixa,721
us20008l41,653
us20008m3t,733
us20008vhl,671
us10008e3k,1297
us10008kce,1642
us10008ls4,818
us10008qsb,713
us10008rb6,650
us10008w1z,678
us20009jd6,711
us20009mbt,1188
us20009p1a,1034
us1000976a,743
us100098qm,704
us20009x42,918
us20009ynd,1065
us2000a5x1,708
us2000a98r,670
us2000ahv0,2910
us2000ar20,1496
us2000b2vq,651
us1000apql,691
us1000aw8q,694
us1000aytk,691
us1000azjt,674
us2000bibm,727
us2000bk15,661
us2000bmcg,2790
us2000bmhe,1104
us2000brgk,676
us2000brlf,771
us1000bj7t,650
us2000c3y6,651
us2000c4v8,999
us1000c2zy,1623
us2000cjfy,1075
us2000cmy3,1720
us2000cqnn,670
us2000d3km,1386
us2000d7q6,943
us2000dcx1,697
us1000d1kv,719
us1000d937,696
us1000db40,741
us1000dce2,733
hv70116556,1392
us1000g3ub,1722
us1000ga0z,655
us1000gbi4,743
us1000gcii,1052
us1000gda5,1137
us1000gez7,1570
us1000gf2g,652
us1000ggj4,776
us1000gjaz,776
us2000h8ty,1080
us2000h9e2,979
us2000hbk9,651
us2000hbpv,735
us2000hfjk,651
us1000h3p4,2034
us1000h4l1,691
us1000haa3,758
us1000hacw,650
us1000hbkz,691
us1000hclz,650
us1000hfgn,669
us1000hfgv,776
us1000hfh3,655
us1000hhb1,954
us1000hpim,693
us1000htm5,711
ak018fcnsk91,1750
us1000i2gt,871
us1000i2k0,670
us2000isc8,776
us2000ivfw,822
us2000iyta,816
us2000j0ja,715
us2000j0uj,672
us2000j468,671
us2000j6hy,1600
us2000j7dn,691
us2000jbub,909
us2000jlfv,1145
us1000j96d,869
us600032fg,650
us700034xq,717
us70003hqb,826
us70003kyy,929
us60003sc0,1890
us70003t2n,887
us6000417i,830
us600044zz,941
ci38457511,1646
us70004dz3,747
us70004jxe,791
us70004jyv,809
us60004xz4,670
us60004yps,947
us60004zhq,882
us700058yy,670
us70005axg,671
us70005lfd,656
us70005nie,844
us6000645n,815
us700061e9,751
us7000635e,673
us6000693m,650
us60006bjl,799
us60006rp9,877
us60007ewc,1169
us60007idc,1812
us70007pa9,770
us70008fi4,879
us70008jr5,1410
us70008z89,686
us700098qd,678
us70009b14,738
us70009f12,671
nn00725272,1320
us6000a4yi,835
us6000abcq,734
us6000ae4n,873
us6000ah9t,1495
us7000aj3w,684
us7000aq3e,820
us7000asvb,1113
us6000bgbr,784
us6000bgvl,716
us6000bgvu,736
us6000bi4p,749
us7000bf3k,651
us7000bfjr,824
us7000bg4v,674
us7000biu8,691
us7000bq10,732
us6000c9hg,1165
us7000c7y0,1525
us6000d3i9,776
us6000d7ix,777
us7000d20e,802
us7000d2rx,739
us6000de34,696
us6000dg77,918
us6000dher,1612
us7000dffl,932
us7000dfk3,843
us7000dflf,1021
us7000dfq2,650
us7000djz6,672
us7000dl6y,1052
us6000dynd,670
us6000e47c,652
us6000e4rl,651
us7000dz5t,919
us7000e2ec,694
us7000e2zt,698
us7000e4aw,691
us7000e54r,1025
us7000e579,652
us7000eeq4,650
us6000exs5,833
us6000eyfk,935
ak0219neiszm,1500
us6000f48v,915
us6000f4ly,868
us6000f53e,1009
us6000f8yd,691
us6000f652,738
us6000f65h,2333
us6000f6wt,734
us6000f7vg,741
us6000f9gd,670
us6000f9sq,776
us7000f93v,2519
us7000fdds,684
us6000fr0b,826
us6000ft9g,740
ak021d1u1nos,995
us7000fszl,689
us7000fxq2,1094
us6000gbls,670
us6000gc2a,854
us7000g7lx,921
us7000g9zq,1012
us7000gaqu,976
us7000gavu,730
us7000gawk,674
us7000gbu4,791
us7000gg3w,651
us7000ghm5,690
us7000glex,712
us6000h1d2,670
